treecode,genus,species,dbh,crownNSm,crownEWm,height,lon,lat
A01,Pinus,canariensis,54.1,5.7,7.5,26.2,-121.7651071,38.55378366
A02,Pinus,canariensis,60.8,7.4,9.6,29,-121.7651067,38.55383551
A03,Pinus,canariensis,54.2,6.1,10.8,23.7,-121.7651096,38.55388878
A04,Pinus,canariensis,53.9,7.5,10.6,21.8,-121.7651086,38.55393827
A05,Pinus,canariensis,53.8,6.1,10.8,26.2,-121.7651053,38.55398023
A06,Pinus,canariensis,63.1,8.3,12.2,25.7,-121.7651096,38.55404546
A07,Pinus,canariensis,,1.5,1.6,3.5,-121.7651095,38.55408758
A08,Platanus,occidentalis,5.3,1.3,1.4,4.6,-121.7653479,38.55374482
A09,Platanus,occidentalis,1.9,1.5,1.7,2.6,-121.7653753,38.55373691
A10,Zelkova ,serrata,8.2,4.8,4.9,4.5,-121.7653067,38.55396387
A11,Ulmus ,parvifolia,8,3.3,3,2.8,-121.7653185,38.55400319
A12,Acer ,nigrum,5.5,1.4,1.6,5.5,-121.7653181,38.55405879
A13,Pistacia ,chinensis,34.9,11.2,12.8,8.8,-121.7651228,38.55428253
A14,Lagerstoemia,indica,,3.8,2.4,5.3,-121.7650969,38.55432236
A15,Platanus,occidentalis,,8.1,4.4,6.8,-121.7651002,38.55437662
A16,Lagerstoemia,indica,,5,5.2,5.8,-121.7650909,38.55444212
A17,Platanus,hispanica,,10.2,8.2,10.6,-121.7650857,38.55448326
A18,Lagerstoemia,indica,14.6,4.1,5,5.6,-121.7650838,38.55452997
A19,Platanus,occidentalis,,7.8,8.4,10.3,-121.765078,38.55457867
A20,Lagerstoemia,indica,,6.1,5.8,8.1,-121.7650812,38.55463883
A21,Platanus,occidentalis,21.1,7.7,10.2,10.5,-121.7650821,38.55469947
A22,Lagerstoemia,indica,,4.3,3.8,6.6,-121.7650859,38.5547459
A23,Platanus,occidentalis,,12.2,10,13.4,-121.7650902,38.5547943
A24,Lagerstoemia,indica,,3.7,4.2,6,-121.7650855,38.55485193
A25,Platanus,occidentalis,,7.1,7,11,-121.7650841,38.55489623
A26,Lagerstoemia,indica,16.7,3,6,5.9,-121.7650828,38.55494156
A27,Pistacia ,chinensis,36.2,10.7,11.6,11.1,-121.7651055,38.55500952
A28,Pistacia ,chinensis,44.5,13,13.6,9.3,-121.7653408,38.55481132
A29,Platanus,hispanica,30.6,9.7,7.6,10.2,-121.7653356,38.55490248
A30,Platanus,hispanica,35,12.1,10.6,10.6,-121.7653257,38.55498651
A31,Quercus ,ilex,32.9,7.1,9.5,12.7,-121.7655768,38.55512995
A32,Pistacia ,chinensis,34.6,12.9,11.4,12.2,-121.7655443,38.5550389
A33,Pyrus ,calleryana,33.6,5.1,5,9.4,-121.7655447,38.55493998
A34,Pistacia ,chinensis,,8.7,10.4,9.9,-121.7655459,38.55488327
A35,Pistacia ,chinensis,42.7,5.9,8.3,6.5,-121.7656738,38.55451823
A36,Pistacia ,chinensis,52.1,18.4,14.9,13.6,-121.7656576,38.5547829
A37,Acer ,buergerianum,8.4,3.7,4.3,4.4,-121.7658578,38.55476199
A38,Acer ,buergerianum,10,4.7,4,4.8,-121.7658652,38.55453846
A39,Platanus,hispanica,57.6,13.7,15.6,20.1,-121.7655394,38.55447609
A40,Fraxinus ,pennsylvanica marshall,33.9,13,9.1,10.4,-121.7655418,38.55440909
A41,Pistacia ,chinensis,28.5,8.1,11.5,15.3,-121.7655449,38.55433656
A42,Xylosma ,congesta,36.4,10.6,13.1,14,-121.7655491,38.5542908
A43,Xylosma ,congesta,44,6.4,10.3,11.8,-121.7655504,38.55422731
A44,Platanus,hispanica,35.4,8.7,11.6,13.1,-121.7653581,38.55438598
A45,Platanus,hispanica,37.7,11.2,11.11,15.1,-121.7653593,38.55431679
A46,Ulmus ,americana,61.4,9.4,16.2,17,-121.7660307,38.55484185
A47,Plantanus ,occidentalis,41.2,11.1,9.6,15.6,-121.7661792,38.55484702
